service, arrival_time, lat, lon
912A , 2019-03-29T01:03:26+08:00 , 1.4377875 , 103.78717483333334
904 , 2019-03-29T01:00:34+08:00 , 1.4388048333333332 , 103.80673416666667
904 , 2019-03-29T01:13:28+08:00 , 1.4399858333333333 , 103.80249383333333
912 , 2019-03-29T01:01:19+08:00 , 1.4359298333333332 , 103.797546
912A , 2019-03-29T01:04:10+08:00 , 1.4375971666666667 , 103.792496
904 , 2019-03-29T01:13:15+08:00 , 1.4441158333333333 , 103.80402416666666
912 , 2019-03-29T01:03:15+08:00 , 1.4396268333333333 , 103.80261083333333
912A , 2019-03-29T01:03:57+08:00 , 1.4387498333333333 , 103.80285733333334
912A , 2019-03-29T01:16:04+08:00 , 1.4376795 , 103.78535716666667
904 , 2019-03-29T01:13:07+08:00 , 1.4429081666666668 , 103.804697
904 , 2019-03-29T01:27:15+08:00 , 1.4391741666666666 , 103.793307
912A , 2019-03-29T01:14:11+08:00 , 1.4375936666666667 , 103.79234383333333
904 , 2019-03-29T01:14:08+08:00 , 1.4389856666666667 , 103.80321816666667
904 , 2019-03-29T01:28:25+08:00 , 1.4399903333333333 , 103.80252183333333
912A , 2019-03-29T01:15:43+08:00 , 1.435114 , 103.80023516666667
904 , 2019-03-29T01:28:11+08:00 , 1.444069 , 103.80409033333333
904 , 2019-03-29T01:28:25+08:00 , 1.4428941666666666 , 103.80469733333334
904 , 2019-03-29T01:28:37+08:00 , 1.4387883333333333 , 103.80321966666666
904 , 2019-03-29T05:58:07+08:00 , 1.4392113333333334 , 103.79315216666667
912 , 2019-03-29T05:47:45+08:00 , 1.4365263333333333 , 103.79089333333333
962 , 2019-03-29T05:46:30+08:00 , 1.4354503333333333 , 103.79025
904 , 2019-03-29T05:59:16+08:00 , 1.4408866666666666 , 103.80034266666667
904 , 2019-03-29T06:08:22+08:00 , 1.4381501666666667 , 103.78863
912 , 2019-03-29T05:48:59+08:00 , 1.4367516666666666 , 103.79564866666666
912A , 2019-03-29T05:50:32+08:00 , 1.4376363333333333 , 103.792334
912A , 2019-03-29T05:57:51+08:00 , 1.4378311666666668 , 103.786246
962 , 2019-03-29T05:47:37+08:00 , 1.4331996666666666 , 103.79847966666667
962 , 2019-03-29T05:51:58+08:00 , 1.4354161666666667 , 103.7902685
904 , 2019-03-29T05:59:58+08:00 , 1.4399273333333333 , 103.80744766666666
904 , 2019-03-29T06:04:55+08:00 , 1.440895 , 103.80047516666667
912A , 2019-03-29T05:52:41+08:00 , 1.4359796666666667 , 103.79742366666666
912A , 2019-03-29T05:59:35+08:00 , 1.4381145 , 103.78897983333333
962 , 2019-03-29T05:50:21+08:00 , 1.4345876666666666 , 103.801768
904 , 2019-03-29T05:59:38+08:00 , 1.4445796666666666 , 103.80450233333333
904 , 2019-03-29T06:05:08+08:00 , 1.4394573333333334 , 103.807422
904 , 2019-03-29T06:14:18+08:00 , 1.4388298333333334 , 103.7903055
912A , 2019-03-29T05:59:40+08:00 , 1.4377901666666668 , 103.795435
912A , 2019-03-29T06:04:42+08:00 , 1.4381091666666665 , 103.7886845
962 , 2019-03-29T06:00:02+08:00 , 1.4336898333333332 , 103.79557283333334
904 , 2019-03-29T05:59:18+08:00 , 1.439123 , 103.80323316666667
904 , 2019-03-29T06:06:23+08:00 , 1.4466883333333334 , 103.801876
904 , 2019-03-29T06:13:34+08:00 , 1.4396611666666668 , 103.8025705
912 , 2019-03-29T06:11:00+08:00 , 1.43734 , 103.789106
912A , 2019-03-29T05:58:40+08:00 , 1.4384215 , 103.80210233333334
